time	V(vas)
0.000000000000000e+000	-1.640564e-001
3.808593749999797e-006	4.888597e-001
8.886718750000106e-006	1.358217e+000
1.904296875000072e-005	3.090367e+000
3.104296875000058e-005	5.120280e+000
4.304296875000044e-005	7.121599e+000
5.504296875000030e-005	9.082387e+000
6.704296875000015e-005	1.099150e+001
7.904296875000001e-005	1.283810e+001
9.104296874999987e-005	1.461168e+001
1.030429687499997e-004	1.630217e+001
1.150429687499996e-004	1.789996e+001
1.270429687499994e-004	1.939598e+001
1.390429687499993e-004	2.078172e+001
1.510429687499992e-004	2.204931e+001
1.630429687499990e-004	2.319155e+001
1.750429687499989e-004	2.420195e+001
1.870429687499987e-004	2.507476e+001
1.990429687499986e-004	2.580503e+001
2.110429687499985e-004	2.638861e+001
2.230429687499983e-004	2.682219e+001
2.350429687499982e-004	2.710328e+001
2.470429687499980e-004	2.723031e+001
2.590429687499979e-004	2.720255e+001
2.710429687499977e-004	2.702016e+001
2.830429687499976e-004	2.668417e+001
2.950429687499975e-004	2.619648e+001
3.070429687499973e-004	2.555989e+001
3.190429687499972e-004	2.477799e+001
3.310429687499970e-004	2.385523e+001
3.430429687499969e-004	2.279686e+001
3.550429687499968e-004	2.160889e+001
3.670429687499966e-004	2.029807e+001
3.790429687499965e-004	1.887185e+001
3.910429687499963e-004	1.733833e+001
4.030429687499962e-004	1.570622e+001
4.150429687499960e-004	1.398480e+001
4.270429687499959e-004	1.218385e+001
4.390429687499958e-004	1.031361e+001
4.510429687499956e-004	8.384698e+000
4.630429687499955e-004	6.408077e+000
4.750429687499953e-004	4.394979e+000
4.870429687499952e-004	2.356842e+000
4.990429687499950e-004	3.052487e-001
5.110429687499949e-004	-1.748144e+000
5.230429687499948e-004	-3.791668e+000
5.350429687499946e-004	-5.813712e+000
5.470429687499945e-004	-7.802786e+000
5.590429687499943e-004	-9.747588e+000
5.710429687499942e-004	-1.163707e+001
5.830429687499941e-004	-1.346049e+001
5.950429687499939e-004	-1.520748e+001
6.070429687499938e-004	-1.686813e+001
6.190429687499936e-004	-1.843300e+001
6.310429687499935e-004	-1.989319e+001
6.430429687499933e-004	-2.124041e+001
6.550429687499932e-004	-2.246700e+001
6.670429687499931e-004	-2.356599e+001
6.790429687499929e-004	-2.453114e+001
6.910429687499928e-004	-2.535696e+001
7.030429687499926e-004	-2.603876e+001
7.150429687499925e-004	-2.657267e+001
7.270429687499923e-004	-2.695565e+001
7.390429687499922e-004	-2.718552e+001
7.510429687499921e-004	-2.726099e+001
7.630429687499919e-004	-2.718161e+001
7.750429687499918e-004	-2.694785e+001
7.870429687499916e-004	-2.656103e+001
7.990429687499915e-004	-2.602335e+001
8.110429687499914e-004	-2.533786e+001
8.230429687499912e-004	-2.450846e+001
8.350429687499911e-004	-2.353986e+001
8.470429687499909e-004	-2.243757e+001
8.590429687499908e-004	-2.120784e+001
8.710429687499906e-004	-1.985768e+001
8.830429687499905e-004	-1.839474e+001
8.950429687499904e-004	-1.682734e+001
9.070429687499902e-004	-1.516439e+001
9.190429687499901e-004	-1.341534e+001
9.310429687499899e-004	-1.159013e+001
