Freq.	V(vas)
1.00000000000000e+000	(2.62075364323801e+001dB,1.82238564172674e+001°)
1.25892541179417e+000	(2.62922669847601e+001dB,1.45270235579161e+001°)
1.58489319246111e+000	(2.63463462510730e+001dB,1.15663718098645e+001°)
1.99526231496888e+000	(2.63808092402374e+001dB,9.20194539353080e+000°)
2.51188643150958e+000	(2.64027507018816e+001dB,7.31698909626059e+000°)
3.16227766016838e+000	(2.64167054205538e+001dB,5.81596069483201e+000°)
3.98107170553497e+000	(2.64255684537688e+001dB,4.62154609232388e+000°)
5.01187233627272e+000	(2.64311890047323e+001dB,3.67157685699591e+000°)
6.30957344480194e+000	(2.64347480780436e+001dB,2.91624999242020e+000°)
7.94328234724282e+000	(2.64369988461268e+001dB,2.31576532726049e+000°)
1.00000000000000e+001	(2.64384206034536e+001dB,1.83836963161423e+000°)
1.25892541179417e+001	(2.64393177273072e+001dB,1.45875760310489e+000°)
1.58489319246111e+001	(2.64398832231021e+001dB,1.15677454581312e+000°)
1.99526231496888e+001	(2.64402393553744e+001dB,9.16369731218928e-001°)
2.51188643150958e+001	(2.64404634958908e+001dB,7.24755665872166e-001°)
3.16227766016838e+001	(2.64406045238873e+001dB,5.71734731398925e-001°)
3.98107170553498e+001	(2.64406932473878e+001dB,4.49160423609031e-001°)
5.01187233627273e+001	(2.64407490409003e+001dB,3.50505872532907e-001°)
6.30957344480194e+001	(2.64407840663180e+001dB,2.70517406635541e-001°)
7.94328234724283e+001	(2.64408059413322e+001dB,2.04935242904082e-001°)
1.00000000000000e+002	(2.64408194136506e+001dB,1.50266789042273e-001°)
1.25892541179417e+002	(2.64408274025241e+001dB,1.03600681102063e-001°)
1.58489319246112e+002	(2.64408316370563e+001dB,6.24517386745498e-002°)
1.99526231496888e+002	(2.64408330332144e+001dB,2.46286107232567e-002°)
2.51188643150958e+002	(2.64408318931655e+001dB,-1.18829280684507e-002°)
3.16227766016838e+002	(2.64408279711498e+001dB,-4.90272438525740e-002°)
3.98107170553498e+002	(2.64408204207105e+001dB,-8.87823846205672e-002°)
5.01187233627273e+002	(2.64408076121866e+001dB,-1.33265407317838e-001°)
6.30957344480194e+002	(2.64407867809176e+001dB,-1.84845094324230e-001°)
7.94328234724283e+002	(2.64407534306521e+001dB,-2.46268049715563e-001°)
1.00000000000000e+003	(2.64407003630922e+001dB,-3.20804865496834e-001°)
1.25892541179417e+003	(2.64406161245839e+001dB,-4.12424091824523e-001°)
1.58489319246112e+003	(2.64404825347361e+001dB,-5.26003176187919e-001°)
1.99526231496888e+003	(2.64402707643720e+001dB,-6.67587405991454e-001°)
2.51188643150959e+003	(2.64399351185923e+001dB,-8.44710247746303e-001°)
3.16227766016839e+003	(2.64394031878525e+001dB,-1.06679135162509e+000°)
3.98107170553498e+003	(2.64385602544461e+001dB,-1.34563184093746e+000°)
5.01187233627273e+003	(2.64372246214391e+001dB,-1.69603012496915e+000°)
6.30957344480195e+003	(2.64351086209609e+001dB,-2.13654478636712e+000°)
7.94328234724283e+003	(2.64317570919362e+001dB,-2.69043277053727e+000°)
1.00000000000000e+004	(2.64264505631808e+001dB,-3.38678827843582e+000°)
1.25892541179417e+004	(2.64180535310470e+001dB,-4.26189456735931e+000°)
1.58489319246112e+004	(2.64047782772896e+001dB,-5.36076574329393e+000°)
1.99526231496889e+004	(2.63838211338262e+001dB,-6.73877674267049e+000°)
2.51188643150959e+004	(2.63508119398558e+001dB,-8.46311813087073e+000°)
3.16227766016839e+004	(2.62990041166417e+001dB,-1.06135052620284e+001°)
3.98107170553498e+004	(2.62181387733303e+001dB,-1.32810365242646e+001°)
5.01187233627274e+004	(2.60929805048405e+001dB,-1.65632832737965e+001°)
6.30957344480195e+004	(2.59017180980066e+001dB,-2.05527709961439e+001°)
7.94328234724284e+004	(2.56148406067058e+001dB,-2.53157803193841e+001°)
1.00000000000000e+005	(2.51957236053584e+001dB,-3.08608110442942e+001°)
1.25892541179417e+005	(2.46045709473759e+001dB,-3.71036381490442e+001°)
1.58489319246112e+005	(2.38065133867530e+001dB,-4.38476436510668e+001°)
1.99526231496889e+005	(2.27817799655531e+001dB,-5.08031352548251e+001°)
2.51188643150959e+005	(2.15326505035645e+001dB,-5.76520090747746e+001°)
3.16227766016839e+005	(2.00825136526835e+001dB,-6.41300426802772e+001°)
3.98107170553499e+005	(1.84676692976437e+001dB,-7.00836866502622e+001°)
5.01187233627274e+005	(1.67271301621394e+001dB,-7.54805987177559e+001°)
6.30957344480196e+005	(1.48951967052834e+001dB,-8.03860066144555e+001°)
7.94328234724285e+005	(1.29981193836303e+001dB,-8.49288655121416e+001°)
1.00000000000000e+006	(1.10536788321045e+001dB,-8.92737698915331e+001°)
1.25892541179417e+006	(9.07204175832544e+000dB,-9.36029319358297e+001°)
1.58489319246112e+006	(7.05679987531683e+000dB,-9.81056925260719e+001°)
1.99526231496889e+006	(5.00579298805298e+000dB,-1.02970598683532e+002°)
2.51188643150959e+006	(2.91193803881323e+000dB,-1.08374744738294e+002°)
3.16227766016839e+006	(7.64929897003045e-001dB,-1.14466162301166e+002°)
3.98107170553499e+006	(-1.44463750687276e+000dB,-1.21339031678347e+002°)
5.01187233627275e+006	(-3.71696399065602e+000dB,-1.29011092650114e+002°)
6.30957344480196e+006	(-6.03047763375819e+000dB,-1.37426410038826e+002°)
7.94328234724285e+006	(-8.32977283155244e+000dB,-1.46508775589126e+002°)
1.00000000000000e+007	(-1.05240745916162e+001dB,-1.56257976898286e+002°)
